ORF_A	ORF_B	Gene_A	Gene_B 
YDR395W	YOL070C	SXM1	NBA1 
YDR395W	YDR395W	SXM1	SXM1 
YGR129W	YMR213W	SYF2	CEF1 
YGR129W	YLL036C	SYF2	PRP19 
YGR129W	YGR129W	SYF2	SYF2 
YGR129W	YLR117C	SYF2	CLF1 
YPR165W	YPR165W	RHO1	RHO1 
YLR031W	YLR315W	YLR031W	NKP2 
YLR031W	YMR117C	YLR031W	SPC24 
YLR031W	YMR124W	YLR031W	YMR124W 
YLR031W	YOL069W	YLR031W	NUF2 
YCR101C	YPL240C	YCR101C	HSP82 
YCR101C	YCR101C	YCR101C	YCR101C 
YCR101C	YIL061C	YCR101C	SNP1 
YCR101C	YGR216C	YCR101C	GPI1 
YCR101C	YHL042W	YCR101C	YHL042W 
YGR097W	YGR097W	ASK10	ASK10 
YGR097W	YKL116C	ASK10	PRR1 
YHR215W	YHR215W	PHO12	PHO12 
YKL025C	YLR291C	PAN3	GCD7 
YKL025C	YKL025C	PAN3	PAN3 
YKL025C	YKL129C	PAN3	MYO3 
YKR011C	YKR011C	YKR011C	YKR011C 
YEL004W	YPL264C	YEA4	YPL264C 
YEL004W	YEL004W	YEA4	YEA4 
YJL200C	YOL133W	ACO2	HRT1 
YLL027W	YLL027W	ISA1	ISA1 
YLR045C	YML124C	STU2	TUB3 
YLR045C	YML085C	STU2	TUB1 
YLR045C	YOR269W	STU2	PAC1 
YLR045C	YPL269W	STU2	KAR9 
YLR045C	YLR045C	STU2	STU2 
YLR045C	YMR190C	STU2	SGS1 
YDR348C	YMR295C	YDR348C	YMR295C 
YDR348C	YDR348C	YDR348C	YDR348C 
YDR348C	YNL161W	YDR348C	CBK1 
YGR003W	YOL133W	CUL3	HRT1 
YGL060W	YOL133W	YBP2	HRT1 
YGL060W	YLR191W	YBP2	PEX13 
YGL060W	YGL060W	YBP2	YBP2 
YGL060W	YHL002W	YBP2	HSE1 
YGL060W	YHR016C	YBP2	YSC84 
YGL060W	YMR032W	YBP2	HOF1 
YLL007C	YLL007C	YLL007C	YLL007C 
YEL009C	YPR046W	GCN4	MCM16 
YEL009C	YOL051W	GCN4	GAL11 
YEL009C	YPL031C	GCN4	PHO85 
YEL009C	YOR290C	GCN4	SNF2 
YEL009C	YEL009C	GCN4	GCN4 
YEL009C	YPL038W	GCN4	MET31 
YOR083W	YPL240C	WHI5	HSP82 
YOR083W	YOR083W	WHI5	WHI5 
YEL015W	YJR140C	EDC3	HIR3 
